Index,Date,Fixing
CHF-LIBOR-12M,09-Jun-2023,-0.005532
CHF-LIBOR-12M,09-mar-20,-0.00707
CHF-LIBOR-12M,09-mar-21,-0.005878
CHF-LIBOR-12M,09-mar-22,-0.005532
CHF-LIBOR-12M,09-mar-23,-0.005532
CHF-LIBOR-12M,09-May-2019,-0.005124
CHF-LIBOR-12M,09-May-2022,-0.005532
CHF-LIBOR-12M,09-May-2023,-0.005532
CHF-LIBOR-12M,09-nov-18,-0.005312
CHF-LIBOR-12M,09-nov-20,-0.006212
CHF-LIBOR-12M,09-nov-21,-0.005728
CHF-LIBOR-12M,09-nov-22,-0.005532
CHF-LIBOR-12M,09-nov-23,-0.005532
CHF-LIBOR-12M,09-Oct-2019,-0.006274
CHF-LIBOR-12M,09-Oct-2020,-0.006
CHF-LIBOR-12M,09-Oct-2023,-0.005532
CHF-LIBOR-12M,09-Sep-2019,-0.007486
CHF-LIBOR-12M,09-Sep-2020,-0.00566
CHF-LIBOR-12M,09-Sep-2021,-0.005924
CHF-LIBOR-12M,09-Sep-2022,-0.005532
CHF-LIBOR-12M,10-apr-19,-0.005016
CHF-LIBOR-12M,10-apr-20,-0.004104
CHF-LIBOR-12M,10-apr-23,-0.005532
CHF-LIBOR-12M,10-apr-24,-0.005532
CHF-LIBOR-12M,10-Aug-2020,-0.005204
CHF-LIBOR-12M,10-Aug-2021,-0.005984
CHF-LIBOR-12M,10-Aug-2022,-0.005532
CHF-LIBOR-12M,10-Aug-2023,-0.005532
CHF-LIBOR-12M,10-Dec-2018,-0.00526
CHF-LIBOR-12M,10-Dec-2019,-0.005152
CHF-LIBOR-12M,10-Dec-2020,-0.00624
CHF-LIBOR-12M,10-Dec-2021,-0.005822
CHF-LIBOR-12M,10-feb-20,-0.004924
CHF-LIBOR-12M,10-feb-21,-0.00604
CHF-LIBOR-12M,10-feb-22,-0.005532
CHF-LIBOR-12M,10-feb-23,-0.005532
CHF-LIBOR-12M,10-Jan-2019,-0.004904
CHF-LIBOR-12M,10-Jan-2020,-0.004832
CHF-LIBOR-12M,10-Jan-2022,-0.005532
CHF-LIBOR-12M,10-Jan-2023,-0.005532
CHF-LIBOR-12M,10-Jan-2024,-0.005532
CHF-LIBOR-12M,10-Jul-2019,-0.005848
CHF-LIBOR-12M,10-Jul-2020,-0.005164
CHF-LIBOR-12M,10-Jul-2023,-0.005532
CHF-LIBOR-12M,10-Jun-2019,-0.005412
CHF-LIBOR-12M,10-Jun-2020,-0.004532
CHF-LIBOR-12M,10-Jun-2021,-0.005918
CHF-LIBOR-12M,10-Jun-2022,-0.005532
CHF-LIBOR-12M,10-mar-20,-0.006746
CHF-LIBOR-12M,10-mar-21,-0.005916
CHF-LIBOR-12M,10-mar-22,-0.005532
CHF-LIBOR-12M,10-mar-23,-0.005532
CHF-LIBOR-12M,10-May-2019,-0.005172
CHF-LIBOR-12M,10-May-2021,-0.005904
CHF-LIBOR-12M,10-May-2022,-0.005532
CHF-LIBOR-12M,10-May-2023,-0.005532
CHF-LIBOR-12M,10-nov-20,-0.006118
CHF-LIBOR-12M,10-nov-21,-0.005714
CHF-LIBOR-12M,10-nov-22,-0.005532
CHF-LIBOR-12M,10-nov-23,-0.005532
CHF-LIBOR-12M,10-Oct-2019,-0.00622
CHF-LIBOR-12M,10-Oct-2022,-0.005532
CHF-LIBOR-12M,10-Oct-2023,-0.005532
CHF-LIBOR-12M,10-Sep-2019,-0.007434
CHF-LIBOR-12M,10-Sep-2020,-0.005602
CHF-LIBOR-12M,10-Sep-2021,-0.00592
CHF-LIBOR-12M,11-apr-19,-0.005056
CHF-LIBOR-12M,11-apr-22,-0.005532
CHF-LIBOR-12M,11-apr-23,-0.005532
CHF-LIBOR-12M,11-apr-24,-0.005532
CHF-LIBOR-12M,11-Aug-2020,-0.005238
CHF-LIBOR-12M,11-Aug-2021,-0.005996
CHF-LIBOR-12M,11-Aug-2022,-0.005532
CHF-LIBOR-12M,11-Aug-2023,-0.005532
CHF-LIBOR-12M,11-Dec-2018,-0.00526
CHF-LIBOR-12M,11-Dec-2019,-0.005218
CHF-LIBOR-12M,11-Dec-2020,-0.006236
CHF-LIBOR-12M,11-Dec-2023,-0.005532
CHF-LIBOR-12M,11-feb-19,-0.005112
CHF-LIBOR-12M,11-feb-20,-0.004988
CHF-LIBOR-12M,11-feb-21,-0.006038
CHF-LIBOR-12M,11-feb-22,-0.005532
CHF-LIBOR-12M,11-Jan-2019,-0.004996
CHF-LIBOR-12M,11-Jan-2021,-0.006092
CHF-LIBOR-12M,11-Jan-2022,-0.005532
CHF-LIBOR-12M,11-Jan-2023,-0.005532
CHF-LIBOR-12M,11-Jan-2024,-0.005532
CHF-LIBOR-12M,11-Jul-2019,-0.005862
CHF-LIBOR-12M,11-Jul-2022,-0.005532
CHF-LIBOR-12M,11-Jul-2023,-0.005532
CHF-LIBOR-12M,11-Jun-2019,-0.00538
CHF-LIBOR-12M,11-Jun-2020,-0.004552
CHF-LIBOR-12M,11-Jun-2021,-0.005932
CHF-LIBOR-12M,11-mar-19,-0.005056
CHF-LIBOR-12M,11-mar-20,-0.0068
CHF-LIBOR-12M,11-mar-21,-0.005916
CHF-LIBOR-12M,11-mar-22,-0.005532
CHF-LIBOR-12M,11-mar-24,-0.005532
CHF-LIBOR-12M,11-May-2020,-0.004632
CHF-LIBOR-12M,11-May-2021,-0.00591
CHF-LIBOR-12M,11-May-2022,-0.005532
CHF-LIBOR-12M,11-May-2023,-0.005532
CHF-LIBOR-12M,11-nov-19,-0.005248
CHF-LIBOR-12M,11-nov-20,-0.00608
CHF-LIBOR-12M,11-nov-21,-0.005662
CHF-LIBOR-12M,11-nov-22,-0.005532
CHF-LIBOR-12M,11-Oct-2019,-0.005924
CHF-LIBOR-12M,11-Oct-2021,-0.00582
CHF-LIBOR-12M,11-Oct-2022,-0.005532
CHF-LIBOR-12M,11-Oct-2023,-0.005532
